Metric,Bias,Bias,Bias,Bias,RMSE,RMSE,RMSE,RMSE,CRPS,CRPS,CRPS,CRPS,SCRPS,SCRPS,SCRPS,SCRPS
Model,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E,AnEn,A2E,CA2E,SA2E
Location_39,-0.062431339174509,0.0184535402804613,-0.0012637635227292,-0.023449493572115898,0.8699577450752258,0.8897554278373718,0.8620398044586182,0.7798863053321838,0.3715740144252777,0.3569102883338928,0.3460488319396972,0.3505131006240845,0.85028076171875,0.8305623531341553,0.8099464774131775,0.8273389339447021
Location_40,-0.0223948303610086,-0.0065530869178473,0.0257582291960716,-0.013810824602842331,0.6682642102241516,0.7093982696533203,0.6994345784187317,0.645127534866333,0.276359498500824,0.2773329019546509,0.2684461772441864,0.2700346112251282,0.6951870322227478,0.7016493082046509,0.6823017001152039,0.687568187713623
Location_41,-0.0258103907108306,0.0212625209242105,0.0363427586853504,0.009278655983507633,0.774448573589325,0.8006657361984253,0.7894853949546814,0.7190836668014526,0.3152018785476684,0.3206448554992676,0.3075509071350097,0.3094940483570099,0.7661381363868713,0.7768868803977966,0.7519955039024353,0.7591902613639832
Location_42,-0.1248273700475692,-0.05342897772789,0.0016105456743389,-0.08993973582983017,0.7531065940856934,0.7633795738220215,0.7366055846214294,0.6982702016830444,0.3295045495033264,0.3134671449661255,0.2977843582630157,0.3043700158596039,0.7892722487449646,0.7643415927886963,0.7328416109085083,0.7544806599617004
Location_43,-0.0304340738803148,0.0119256032630801,-0.0024892836809158,-0.006966311484575272,0.8098507523536682,0.8349513411521912,0.8143868446350098,0.7623018026351929,0.3410604596138,0.3292896449565887,0.318229079246521,0.33000698685646057,0.8034448623657227,0.7913951873779297,0.766322910785675,0.793907642364502
Location_44,0.0960428044199943,0.0808340385556221,0.054425224661827,0.07006565481424332,0.7248692512512207,0.778321385383606,0.7670255303382874,0.712868332862854,0.2827608287334442,0.2885139584541321,0.2763547599315643,0.28791770339012146,0.7114446759223938,0.7293380498886108,0.7032985091209412,0.7257422804832458
Location_45,-0.0040524778887629,-0.0025803633034229,0.0481968149542808,0.009085685946047306,0.7875061631202698,0.7866398692131042,0.853225588798523,0.7430087924003601,0.3432737290859222,0.3267143964767456,0.3420798778533935,0.3197211027145386,0.793300986289978,0.7676947116851807,0.7977291345596313,0.7575026154518127
Location_46,0.0746713429689407,0.0591895431280136,0.0657868981361389,0.02447725646197796,0.7433785200119019,0.7539623379707336,0.7450196743011475,0.6748703122138977,0.3140963613986969,0.2984736263751983,0.2912055552005768,0.29385966062545776,0.7603582739830017,0.7420691251754761,0.720593273639679,0.7380343079566956
Location_47,-0.1582273691892624,-0.0031200845260173,-0.0599889829754829,-0.02320469543337822,0.8109788298606873,0.7800523042678833,0.7800664901733398,0.727158784866333,0.3536047041416168,0.3231866359710693,0.3206862509250641,0.3168248236179352,0.8276359438896179,0.7826718091964722,0.7740861177444458,0.7759308218955994
Location_48,-0.0553089864552021,0.0328811891376972,-0.006574060767889,0.03360128402709961,0.8011118769645691,0.8262425661087036,0.8133536577224731,0.7617818117141724,0.3345599472522735,0.3209483921527862,0.3179415166378021,0.3265972137451172,0.7910262942314148,0.7787678837776184,0.7692065238952637,0.7825363874435425
